City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,norman wells,65.282,-126.8329,-27.98,69,20,8.75,CA,1670294441
1,busselton,-33.65,115.3333,22.3,38,0,4.29,AU,1670294441
2,kapaa,22.0752,-159.319,26.18,87,75,6.17,US,1670294442
3,verkhnevilyuysk,63.4453,120.3167,-23.37,94,100,3.17,RU,1670294442
4,ushuaia,-54.8,-68.3,5.79,65,40,7.72,AR,1670294443
5,bonnyville,54.2668,-110.735,-21.38,89,99,4.67,CA,1670294255
6,assiniboia,49.6334,-105.9845,-16.1,78,100,4.63,CA,1670294443
7,rikitea,-23.1203,-134.9692,24.02,81,100,6.17,PF,1670294444
8,jamestown,42.097,-79.2353,6.77,37,75,4.12,US,1670294067
9,xiaoweizhai,26.1903,107.5125,5.07,74,100,1.72,CN,1670294444
10,tasiilaq,65.6145,-37.6368,-2.91,58,8,1.71,GL,1670294445
11,nieuwpoort,51.1244,2.7735,6.12,100,75,1.54,BE,1670294445
12,butaritari,3.0707,172.7902,27.16,80,86,6.66,KI,1670294445
13,mount gambier,-37.8333,140.7667,19.77,41,100,3.17,AU,1670294331
14,zhangye,38.9342,100.4517,-3.16,52,80,2.59,CN,1670294446
15,qaanaaq,77.484,-69.3632,-0.82,74,100,5.74,GL,1670294446
16,mar del plata,-38.0023,-57.5575,21.01,78,0,4.63,AR,1670294447
17,mayor pablo lagerenza,-19.9309,-60.7718,24.87,70,78,2.42,PY,1670294447
18,cape town,-33.9258,18.4232,19.1,72,0,3.6,ZA,1670294355
19,castro,-24.7911,-50.0119,18.43,95,91,1.33,BR,1670294448
20,abha,18.2164,42.5053,10.14,76,0,3.09,SA,1670294448
21,faanui,-16.4833,-151.75,26.66,75,20,7.19,PF,1670294449
22,albany,42.6001,-73.9662,3.5,57,97,2.31,US,1670294449
23,khatanga,71.9667,102.5,-24.0,88,100,5.29,RU,1670294450
24,rundu,-17.9333,19.7667,22.55,61,97,1.72,NA,1670294450
25,bandarbeyla,9.4942,50.8122,24.07,73,51,7.65,SO,1670294451
26,saint-pierre,-21.3393,55.4781,24.95,61,20,2.06,RE,1670294451
27,cherskiy,68.75,161.3,-22.14,90,100,2.0,RU,1670294451
28,severo-kurilsk,50.6789,156.125,-3.51,76,88,7.04,RU,1670294452
29,tuatapere,-46.1333,167.6833,13.08,53,42,3.29,NZ,1670294452
30,avarua,-21.2078,-159.775,25.03,78,100,3.09,CK,1670294453
31,karratha,-20.7377,116.8463,36.19,25,7,6.02,AU,1670294453
32,yellowknife,62.456,-114.3525,-35.25,68,0,3.09,CA,1670294400
33,divnogorsk,55.9594,92.3619,-14.59,92,100,3.1,RU,1670294453
34,saint-philippe,-21.3585,55.7679,24.77,84,97,4.88,RE,1670294454
35,airai,-8.9266,125.4092,26.17,31,48,1.09,TL,1670294454
36,umm bab,25.2142,50.8072,21.96,72,64,4.22,QA,1670294455
37,tilichiki,60.4667,166.1,-14.94,89,77,4.29,RU,1670294455
38,nalut,30.3333,10.85,15.3,27,9,2.57,LY,1670294456
39,souillac,-20.5167,57.5167,23.21,94,75,1.54,MU,1670294456
